project_id,project_name,start_date,end_date,department_id
1,Payroll Automation,2021-08-01,2022-06-25,8
2,AI Chatbot Development,2019-04-11,2019-09-16,1
3,Customer Feedback System,2021-07-01,2021-11-03,5
4,Marketing Expansion,2023-10-20,2024-03-24,1
5,Supply Chain Optimization,2021-01-11,2021-10-28,3
6,Website Revamp,2019-10-22,2020-07-06,6
7,Mobile App Upgrade,2019-10-11,2020-03-15,6
8,Financial Audit 2025,2023-01-08,2023-11-27,5
9,Employee Wellness Program,2021-08-27,2022-03-16,3
10,Cybersecurity Enhancement,2021-05-26,2022-03-30,7
11,CRM Migration,2021-01-19,2021-12-16,3
12,Product Launch Q4,2021-01-13,2021-08-25,5
13,Inventory Tracking System,2020-01-23,2020-08-11,5
14,New Branch Setup,2020-01-24,2020-06-30,8
15,Global Partnership Drive,2021-08-12,2022-01-19,4
